NBHD_NAME,TTL_POPULATION_ALL,HISPANIC_OR_LATINO,WHITE,BLACK,NATIVE_AMERICAN,ASIAN,HAWAIIAN_PI,OTHER_RACE,TWO_OR_MORE,PCT_HISPANIC,PCT_WHITE,PCT_BLACK,PCT_NATIVEAM,PCT_ASIAN,PCT_HAWAIIANPI,PCT_OTHERRACE,PCT_TWOORMORE_RACES,MALE,FEMALE,AGE_LESS_5,AGE_5_TO_9,AGE_10_TO_14,AGE_15_TO_17,AGE_0_TO_9,AGE_10_TO_19,AGE_20_TO_29,AGE_30_TO_39,AGE_40_TO_49,AGE_50_TO_59,AGE_60_TO_69,AGE_70_TO_79,AGE_80_PLUS,AGELESS18,AGE65PLUS,PCT_AGELESS18,PCT_AGE65PLUS,MEDIAN_AGE_ALL,MEDIAN_AGE_MALE,MEDIAN_AGE_FEMALE,TTL_AGE_3_PLUS_ENRSTATUS,ENROLLED_IN_SCHOOL,NURSERY_OR_PRESCHOOL,KINDERGARTEN,GRADES_5_TO_8,GRADES_9_TO_12,COLLEGE_UNDERGRADUATE,GRADUATE_SCHOOL,NOT_ENROLLED,TOTAL_COMMUTERS,COMMUTE_LESS_15,COMMUTE_15_TO_30,COMMUTE_30_TO_45,COMMUTE_45_TO_60,COMMUTE_60_PLUS,TTLPOP_25PLUS_EDU,LESS_THAN_HS_DIPLOMA_EDU,HSGRAD_OR_EQUIV_EDU,SOMECOLLEGE_OR_AA_EDU,BACHELORS_OR_HIGHER_EDU,TTLPOP_5PLUS_LNG,ONLY_ENGLISH_LNG,SPANISH_LNG,FRENCH_LNG,FRENCH_CREOLE_LNG,ITALIAN_LNG,PORTUGESE_LNG,GERMAN_LNG,YIDDISH_LNG,OTHER_W_GERMAN_LNG,SCANDINAVIAN_LNG,GREEK_LNG,RUSSIAN_LNG,POLISH_LNG,SERBO_CROATIAN_LNG,OTHER_SLAVIC_LNG,ARMENIAN_LNG,PERSIAN_LNG,GUJARATI_LNG,HINDI_LNG,URDU_LNG,OTHER_INDIC_LNG,OTHER_INDO_EUR_LNG,CHINESE_LNG,JAPANESE_LNG,KOREAN_LNG,MON_KHMR_CMBDN_LNG,HMONG_LNG,THAI_LNG,LAOTIAN_LNG,VIETNAMESE_LNG,OTHER_ASIAN_LNG,TAGALOG_LNG,OTHER_PACIS_LNG,NAVAJO_LNG,OTHER_NATAM_LNG,HUNGARIAN_LNG,ARABIC_LNG,HEBREW_LNG,AFRICAN_ALL_LNG,ALL_OTHER_LNG,TTL_HOUSING_UNITS,OCCUPIED_HU,VACANT_HU,OWNER_OCCUPIED_HU,RENTER_OCCUPIED_HU,TTL_HOUSEHOLDS,FAMILY_HOUSEHOLDS,MARRIED_COUPLE_FAMILY,OTHER_FAMILY,MALE_HHLDR_NO_WIFE_PRESENT,FEMALE_HHLDR_NO_HSBND_PRESENT,NONFAMILY_HOUSEHOLD,HOUSEHOLDER_ALONE,HOUSEHOLDER_NOT_ALONE,HH_INC_LESS_10000,HH_INC_10000_14999,HH_INC_15000_19999,HH_INC_20000_24999,HH_INC_25000_29999,HH_INC_30000_34999,HH_INC_35000_39999,HH_INC_40000_44999,HH_INC_45000_49999,HH_INC_50000_59999,HH_INC_60000_74999,HH_INC_75000_99999,HH_INC_100000_124999,HH_INC_125000_149999,HH_INC_150000_199999,HH_INC_OVER_200000,MED_HH_INCOME,MED_FAMILY_INCOME,PER_CAPITA_INCOME,AVG_HH_INC,AVG_FAM_INCOME,MEDIAN_EARNINGS,MEDIAN_EARN_MALE,MEDIAN_EARN_FEMALE,MEDEARN_LESSHS,MEDEARN_HIGHSCHOOL,MEDEARN_SOMECOLLEGE,MEDEARN_BACHELORS,MEDEARN_GRAD_PROFESSIONAL,MED_YR_STRUCTURE_BUILT,BUILT_2010_OR_LATER,BUILT_2000_2009,BUILT_1990_1999,BUILT_1980_1989,BUILT_1970_1979,BUILT_1960_1969,BUILT_1950_1959,BUILT_1940_1949,BUILT_1939_OR_EARLIER,MED_CONTRACT_RENT,MED_GROSS_RENT,MEDIAN_HOME_VALUE,NATIVE_BORN,FOREIGN_BORN_FB,EUROPE_FB,NORTHERN_EUROPE_FB,WESTERN_EUROPE_FB,SOUTHERN_EUROPE_FB,EASTERN_EUROPE_FB,ASIA_FB,EASTERN_ASIA_FB,SOUTH_CENTRAL_ASIA_FB,SOUTH_EASTERN_ASIA_FB,WESTERN_ASIA_FB,AFRICA_FB,EASTERN_AFRICA_FB,MIDDLE_AFRICA_FB,NORTHERN_AFRICA_FB,SOUTHERN_AFRICA_FB,WESTERN_AFRICA_FB,OCEANIA_FB,AMERICAS_FB,LATIN_AMERICA_FB,CARRIBEAN_FB,CENTRAL_AMERICA_FB,SOUTH_AMERICA_FB,NORTH_AMERICA_FB,PCT_POVERTY,PCT_FAM_POVERTY
Chaffee Park,3966,2362,1457,33,0,30,0,0,84,59.56,36.74,0.83,0,0.76,0,0,2.12,1999,1967,310,236,225,91,546,415,545,711,501,524,394,132,198,862,473,21.73,11.93,34.8,32.3,38.9,3757,894,111,58,191,151,182,56,2863,1932,45,910,378,92,45,2823,602,820,680,721,3656,2332,1283,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1551,1505,46,1161,344,1505,834,647,187,60,127,671,506,165,104,121,37,62,7,78,157,46,97,118,134,221,150,56,37,38,50750,56071,26056.51,63716.81,67679.62,34497,35869,32917,25444,33273,33309,44828,68816,1948,0,20,31,38,110,82,359,800,111,950,1043,185800,3263,703,12,12,0,0,0,30,30,0,0,0,7,7,0,0,0,0,0,654,654,0,625,29,0,10.5,7.55
Sunnyside,10427,5502,4071,303,223,109,42,51,126,53.18,38.46,3.12,2.17,0.96,0.43,0.48,1.21,5309,5118,757,556,541,290,1313,985,1733,2347,1237,1238,769,619,186,2144,1061,20.85,9.87,33.97,33.53,33.83,9943,2278,196,155,402,370,554,167,7665,4816,66,2108,733,261,369,7586,1627,1884,1681,2394,9670,6887,2546,0,0,62,0,16,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,12,7,37,0,0,0,0,29,0,0,0,10,23,0,20,0,0,16,4192,4050,142,2326,1724,4050,2401,1477,924,166,758,1649,1069,580,548,201,216,225,164,143,225,169,117,250,365,535,353,190,216,93,48148.67,53677.67,25167.16,61730.83,64435.9,30998.33,33319,27654.67,23130.67,19650,28593.67,50265.33,58766.67,1943,57,62,102,101,237,289,785,515,2044,687.67,792.67,257833.33,9165,1262,87,25,0,23,39,79,22,8,29,20,26,16,0,0,0,10,0,1070,1070,8,1041,21,0,25.1,20.39
Highland,8403,2241,5579,362,15,150,0,0,56,27.58,64.77,4.75,0.15,1.93,0,0,0.82,4156,4247,475,259,202,133,734,518,1952,1862,1283,893,543,290,328,1069,916,13.63,9.98,34.45,34.75,33.55,8060,1408,37,68,121,267,458,262,6652,5050,195,1739,1423,203,198,6613,779,635,1473,3726,7928,6541,1190,69,0,0,0,0,0,0,0,0,0,8,13,0,6,0,0,0,0,0,0,36,0,0,0,0,16,0,27,9,0,0,0,0,0,13,0,0,0,4737,4406,331,2260,2146,4406,1389,859,530,148,382,3017,2230,787,498,281,316,182,77,158,125,247,122,192,491,496,388,228,316,433,63556.5,91148.5,46933.82,88357.35,110945.64,42856,52557,39088.5,27552,25461,35599,54464.5,64821.5,1950,143,688,293,214,415,147,433,175,2229,1076,1171,323500,7613,790,61,10,20,0,31,152,61,8,61,22,0,0,0,0,0,0,7,570,536,0,498,38,34,17.25,13.21
Globeville,3443,2323,946,122,13,0,7,0,32,67.47,27.48,3.54,0.38,0,0.2,0,0.93,2006,1437,290,299,141,60,589,382,751,640,232,485,251,96,17,790,203,22.95,5.9,30,28.9,30.3,3271,919,20,119,125,55,361,24,2352,1270,39,409,300,40,144,2124,772,583,528,241,3153,1780,1341,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,1174,1042,132,424,618,1042,563,312,251,125,126,479,371,108,173,102,18,78,88,34,81,16,0,64,98,70,57,22,18,0,26731,37426,14675.37,40428.12,48504.8,20000,21458,17076,21080,21111,27031,24926,59375,1945,0,235,13,45,95,32,112,122,520,686,852,116500,2728,715,8,0,0,8,0,0,0,0,0,0,9,0,0,0,0,0,7,691,684,7,677,0,7,40.1,30.91
Jefferson Park,2569,1338,1021,117,57,0,0,0,36,52.08,39.74,4.55,2.22,0,0,0,1.4,1543,1026,136,127,58,76,263,175,639,752,361,216,111,34,18,397,138,15.45,5.37,31,30.8,31.2,2487,433,9,6,33,119,104,65,2054,1462,17,594,314,95,85,1904,644,291,242,727,2433,1308,1077,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,10,0,1397,1253,144,402,851,1253,468,337,131,73,58,785,604,181,129,112,66,60,92,95,50,36,86,163,110,67,43,57,66,35,45026,47083,37255.27,70042.7,55278.21,25699,22218,28971,16429,11719,31908,48889,62500,1967,46,450,0,73,109,75,176,15,453,677,755,278300,1758,811,14,0,0,0,14,0,0,0,0,0,10,0,0,0,0,10,0,787,787,0,787,0,0,24.3,19.87
Sun Valley,1433,708,139,291,15,140,0,13,127,49.41,9.7,20.31,1.05,9.77,0,0.91,8.86,609,824,276,216,193,50,492,321,270,167,39,39,74,7,24,735,53,51.29,3.7,17.3,9.4,25.5,1291,613,65,54,101,120,80,19,678,221,0,122,19,34,21,541,308,143,75,15,1157,744,160,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,70,0,0,0,35,0,0,0,0,0,0,44,0,96,0,501,501,0,15,486,501,364,41,323,10,313,137,130,7,292,12,0,56,28,20,0,9,0,0,0,0,0,0,0,0,9363,10000,4592.04,12639.52,12891.21,10913,12679,7083,2500,14276,9500,,,1952,0,28,18,14,40,54,128,112,107,177,188,,1133,300,1,0,0,0,1,121,0,8,77,36,117,66,51,0,0,0,0,61,61,0,61,0,0,84.3,77.47
Valverde,3649,2736,535,155,40,163,0,8,12,74.98,14.66,4.25,1.1,4.47,0,0.22,0.33,1772,1877,455,300,345,151,755,529,578,479,544,395,179,148,42,1251,262,34.28,7.18,28.6,29.5,28.3,3446,1064,129,122,243,199,136,12,2382,1291,28,587,383,78,79,2045,982,608,325,130,3194,1330,1709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,22,0,0,0,0,0,0,0,1271,1165,106,520,645,1165,850,408,442,14,428,315,298,17,185,138,5,112,96,18,131,47,62,115,28,93,36,0,5,0,26810,30972,11994.57,34806.87,36756.35,21480,23295,20276,19435,28378,25855,17500,,1954,0,6,8,98,73,139,496,255,196,607,709,149300,2606,1043,0,0,0,0,0,137,0,0,137,0,0,0,0,0,0,0,0,906,906,24,863,19,0,27.8,32.12
Athmar Park,8881,6411,1960,76,70,311,0,6,47,71.87,22.64,0.87,0.88,3.16,0,0.06,0.51,4640,4241,712,723,598,477,1435,1208,1573,1230,1069,1121,677,275,293,2510,801,28.45,8.88,30.95,29.6,34.1,8461,2209,103,186,476,513,233,124,6252,4130,30,1791,1165,227,257,5601,1763,1717,1400,721,8169,3654,4201,13,0,14,0,1,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,10,0,19,0,0,0,0,220,0,0,0,0,0,0,11,0,0,0,3013,2888,125,1748,1140,2888,1921,1108,813,222,591,967,779,188,242,184,93,214,142,255,191,125,75,298,370,319,149,49,93,8,41956,45413,18179.4,51391.32,54825.56,24796,27919.5,18160,22030,24626.5,34407,49852.5,48250,1954.5,0,36,65,11,360,278,1473,606,184,942.5,1044.5,148200,6181,2700,2,2,0,0,0,273,20,26,204,23,0,0,0,0,0,0,0,2425,2416,18,2397,1,9,20.75,19.44
Baker,5644,2147,2941,149,49,113,0,0,245,38.04,52.11,2.64,0.87,2,0,0,4.34,2927,2717,412,320,151,37,732,263,942,1600,612,585,690,112,108,920,548,16.3,9.71,34.2,34.6,33.8,5454,1456,201,101,116,85,514,185,3998,2822,34,1236,838,67,76,4079,869,689,675,1846,5232,3890,1201,30,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,2750,2571,179,931,1640,2571,923,676,247,27,220,1648,1183,465,340,353,42,158,115,52,100,213,88,135,185,143,359,104,42,109,41595,50871,30611.13,64392.65,86930.44,27211,26626,31453,7589,11777,27450,43132,72667,1939,19,292,14,89,41,338,219,130,1608,767,824,302000,4899,745,37,28,9,0,0,103,103,0,0,0,60,0,0,0,0,60,14,531,531,0,531,0,0,32.1,26.65
Fort Logan,8768,2608,5064,202,37,545,7,20,285,29.82,56.5,2.9,0.44,6.65,0.05,0.14,3.5,4201,4567,481,405,576,467,886,1146,928,1225,957,1418,1041,661,506,1929,1629,22.34,18.87,42.2,41.63,43.4,8429,1972,124,14,446,484,360,107,6457,3724,53,1358,1094,269,272,6344,607,1692,2009,2036,8287,6938,711,12,0,4,0,14,0,7,0,16,11,0,15,9,0,18,0,15,0,0,0,60,4,9,0,0,23,0,336,0,46,39,0,0,0,0,0,0,0,3442,3305,137,2613,692,3305,2262,1665,597,194,403,1043,859,184,260,87,213,135,137,140,206,100,134,242,355,453,342,202,213,192,66049.33,82352.33,34486.94,85612.56,100432.49,35331.67,43923,32562.33,24833.33,33821.67,34123.33,52539,78935.67,1976,33,87,464,225,1474,747,372,22,18,715,814,284200,8025,743,50,8,26,0,16,380,28,35,309,8,19,0,0,0,0,18,0,294,259,0,225,34,35,11.5,5.28
